"row.names.data.tot.";"PAL.median";"PCH.median";"EL.median";"PAL.mean";"PCH.mean";"EL.mean";"PAL.max";"PCH.max";"EL.max"
"2287Mtp1";"2287Mtp1";774.5;97;24.2;1212.17777777778;141.5935;184.728636363636;4570;382;1170
"2317Mtp1";"2317Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"2373Mtp1";"2373Mtp1";657.5;2.655;27.4;580.731818181818;35.0120909090909;40.0786956521739;1510;148;145
"2418Mtp1";"2418Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"2460Mtp2";"2460Mtp2";0;0;171.5;2.44652173913043;1.61233333333333;182.4;24.1;17.2;461
"2471Mtp1";"2471Mtp1";311;205;4.715;701.582608695652;160.389090909091;8.776;4240;375;41.9
"2503Mtp1";"2503Mtp1";707;20.645;37.1;824.888888888889;113.695;99.7063157894737;2180;378;308
"257Mtp16";"257Mtp16";518.5;106;NA;470.683333333333;160.94;NA;972;594;NA
"2635Mtp1";"2635Mtp1";317;96.35;1.365;427.478260869565;161.099545454545;56.7134545454545;1120;447;471
"2683Mtp1";"2683Mtp1";818;377;38.3;797.5;449.631578947368;69.5123529411765;1690;1020;195
"2747Mtp1";"2747Mtp1";65.1;46.6;1.26;217.452173913043;131.383909090909;4.87391304347826;779;360;21.4
"2774Mtp1";"2774Mtp1";14;4.09;0;60.7380952380952;30.2905714285714;10.2261666666667;290;169;117
"2842Mtp1";"2842Mtp1";1170;0;94.3;997;111.482272727273;138.411764705882;1920;797;387
"2856Mtp1";"2856Mtp1";95.1;232;72.5;238.4695;626.408333333333;85.032;1340;3050;269
"2890Mtp1";"2890Mtp1";360.5;84.75;22.9;419.429090909091;133.1475;129.826523809524;826;609;575
"2893Mtp2";"2893Mtp2";327;213;90.8;325.736666666667;194.469565217391;105.241428571429;718;383;225
"2995Mtp1";"2995Mtp1";144;0;138;421.26;74.7721739130435;138.788235294118;1680;475;315
"3000Mtp1";"3000Mtp1";537.5;82.95;1.16;805.573181818182;117.050454545455;22.0700869565217;2330;447;167
"3005Mtp1";"3005Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"3016Mtp1";"3016Mtp1";188;4.475;46.1;619.890476190476;15.8475;48.0452380952381;3180;129;148
"308Mtp9";"308Mtp9";440;197;103;688.60347826087;325.047619047619;170.767095238095;2390;1240;565
"328Mtp2";"328Mtp2";622;172;5.79;678.157142857143;266.752727272727;13.8537272727273;1350;874;75.6
"332Mtp1";"332Mtp1";499;432;96.2;1053.66666666667;821.268095238095;122.22380952381;2860;2030;286
"372Mtp1";"372Mtp1";179.5;206.5;9.44;160.167;271.318181818182;22.7328571428571;371;800;77.2
"380Mtp1";"380Mtp1";604;3.565;281.5;821.315789473684;35.6727272727273;305.222727272727;2230;184;948
"413Mtp1";"413Mtp1";587;202;37.4;533.991666666667;272.939130434783;89.0052631578947;916;661;211
"424Mtp2";"424Mtp2";0;0;0;3.16521739130435;67.5465217391304;0.330565217391304;16.8;315;4.76
"433Mtp1";"433Mtp1";212;71.6;257.5;231.504166666667;130.865714285714;231.467272727273;589;532;450
"43Mtp1";"43Mtp1";1110;55.5;37.1;1241.42857142857;62.8500476190476;70.2084210526316;2840;243;325
"443Mtp19";"443Mtp19";423;212;118.5;567.826086956522;221.214285714286;119.675;1580;425;263
"44Mtp1";"44Mtp1";763.5;256;71.65;907.65;309.694736842105;708.934;2130;739;4360
"537Mtp1";"537Mtp1";249.5;0;0;1152.31818181818;76.3130434782609;5.96181818181818;5190;736;57.5
"569Mtp1";"569Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"727Mtp1";"727Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"735Mtp1";"735Mtp1";449;147;8.26;855.913043478261;142.47;119.701578947368;2170;215;361
"74Mtp31";"74Mtp31";239;52.15;146;466.09;84.248;204.663157894737;1210;280;619
"791Mtp1";"791Mtp1";NA;NA;NA;NA;NA;NA;NA;NA;NA
"830Mtp1";"830Mtp1";376;118.5;26;535.051739130435;116.37365;133.463157894737;1760;399;608
"86Mtp2";"86Mtp2";7.19;44.7;17.1;89.7977272727273;148.12380952381;28.9431818181818;669;587;98
"975Mtp3";"975Mtp3";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clone 15";"Clone 15";319.5;44.05;143;537.02375;97.4872727272727;130.914090909091;2020;350;327
"Clone 340";"Clone 340";399;20.4;119.5;432.469565217391;130.837;107.414285714286;869;524;198
"Clone 381";"Clone 381";231;66.7;37;246.509523809524;75.8178947368421;86.7912380952381;612;203;284
